number,date,VCRIX,CRIX
923,18/11/10,294.8356997,16203.74618
922,18/11/9,282.4016306,16405.77035
921,18/11/8,294.404519,16788.87427
920,18/11/7,278.5497536,16751.1112
919,18/11/6,284.3824641,16197.19771
918,18/11/5,294.9735068,15935.27961
917,18/11/4,305.0588062,15761.36497
916,18/11/3,314.1581657,15641.64182
915,18/11/2,327.5319168,15641.64182
914,18/11/1,340.890742,15574.38297
913,18/10/31,340.890742,15461.70751
912,18/10/30,311.5806822,15336.0317
911,18/10/29,324.6374986,15910.01881
910,18/10/28,337.0687413,15820.11374
909,18/10/27,351.3484821,15883.98635
908,18/10/26,365.3913696,15860.77897
907,18/10/25,380.3610953,15896.50079
906,18/10/24,395.5885678,15882.57172
905,18/10/23,411.4226812,15994.74901
904,18/10/22,428.4190049,16053.00353
903,18/10/21,445.8456387,16076.34793
902,18/10/20,463.9703324,15931.05862
901,18/10/19,471.4093105,15988.94526
900,18/10/18,491.3720609,16341.44968
899,18/10/17,512.2896544,16328.89946
898,18/10/16,473.7235004,16276.02719
897,18/10/15,490.7876214,15342.49212
896,18/10/14,511.3526126,15470.59004
895,18/10/13,525.9765801,15355.43717
894,18/10/12,341.8718474,15050.19052
893,18/10/11,350.9302898,16525.9355
892,18/10/10,363.1015039,16705.30468
891,18/10/9,376.0201235,16827.4432
890,18/10/8,391.9647816,16598.97089
889,18/10/7,402.1660545,16569.25475
888,18/10/6,418.8890606,16790.72163
887,18/10/5,435.907525,16666.46013
886,18/10/4,452.8145738,16517.41659
885,18/10/3,457.9431572,16602.03577
884,18/10/2,476.3863802,17021.94979
883,18/10/1,496.6602379,17078.00422
882,18/9/30,496.6602379,17014.01727
881,18/9/29,511.8181172,16870.58894
880,18/9/28,499.4348262,17113.91757
879,18/9/27,520.6966277,16336.60608
878,18/9/26,533.9326605,16294.42558
877,18/9/25,522.782833,16555.7978
876,18/9/24,545.0205427,17339.02752
875,18/9/23,566.291527,17260.44804
874,18/9/22,522.2807365,17374.73891
873,18/9/21,497.7361348,16144.94289
872,18/9/20,518.9183498,15220.42365
871,18/9/19,520.1032341,15159.08314
870,18/9/18,480.309616,14609.68244
869,18/9/17,499.7558039,15424.56382
868,18/9/16,519.0153783,15492.95958
